item_number,canonical_item_number
TL-00000,TL-00000
FAS-00001,FAS-00001
CON-00002,CON-00002
TL-00003,TL-00003
BAR-00004,BAR-00004
SVC-00005,SVC-00005
TL-00006,TL-00006
TL-00007,TL-00007
BAR-00008,BAR-00008
FAS-00009,FAS-00009
FAS-00010,FAS-00010
SVC-00011,SVC-00011
TL-00012,TL-00012
CON-00013,CON-00013
FAS-00014-A,FAS-00014-A
FAS-00014-B,FAS-00014-A
FAS-00014-3,FAS-00014-A
SHT-00015,SHT-00015
HDW-00016,HDW-00016
BAR-00017,BAR-00017
CON-00018,CON-00018
HDW-00019,HDW-00019
TL-00020,TL-00020
FAS-00021,FAS-00021
SVC-00022,SVC-00022
CON-00023,CON-00023
TL-00024,TL-00024
SHT-00025,SHT-00025
FAS-00026,FAS-00026
BAR-00027,BAR-00027
BAR-00028,BAR-00028
TL-00029,TL-00029
TL-00030,TL-00030
SVC-00031,SVC-00031
FAS-00032,FAS-00032
FAS-00033,FAS-00033
FAS-00034,FAS-00034
SHT-00035,SHT-00035
BAR-00036,BAR-00036
FAS-00037,FAS-00037
SHT-00038,SHT-00038
TL-00039,TL-00039
FAS-00040,FAS-00040
CON-00041,CON-00041
TL-00042,TL-00042
FAS-00043,FAS-00043
CON-00044,CON-00044
CON-00045,CON-00045
FAS-00046,FAS-00046
FAS-00047,FAS-00047
TL-00048,TL-00048
BAR-00049,BAR-00049
SHT-00050,SHT-00050
BAR-00051,BAR-00051
TL-00052,TL-00052
TL-00053,TL-00053
TL-00054,TL-00054
TL-00055,TL-00055
FAS-00056,FAS-00056
HDW-00057,HDW-00057
BAR-00058,BAR-00058
BAR-00059,BAR-00059
TL-00060,TL-00060
FAS-00061,FAS-00061
HDW-00062,HDW-00062
TL-00063,TL-00063
HDW-00064,HDW-00064
HDW-00065,HDW-00065
HDW-00066,HDW-00066
FAS-00067,FAS-00067
BAR-00068-A,BAR-00068-A
BAR-00068-B,BAR-00068-A
BAR-00068-3,BAR-00068-A
FAS-00069,FAS-00069
SHT-00070,SHT-00070
FAS-00071-A,FAS-00071-A
FAS-00071-B,FAS-00071-A
FAS-00071-3,FAS-00071-A
CON-00072,CON-00072
SHT-00073,SHT-00073
BAR-00074,BAR-00074
FAS-00075,FAS-00075
FAS-00076,FAS-00076
