product_number,component_item,qty_per,uom,effective_date
SUB-0000,RM-01002,4,EA,2023-01-01
SUB-0000,ELE-00057,7,EA,2023-01-01
SUB-0000,ELE-01237,2,EA,2023-01-01
SUB-0002,RM-00122,3,EA,2023-01-01
SUB-0002,CON-00218,7,EA,2023-01-01
SUB-0002,MEC-00114,5,EA,2023-01-01
SUB-0003,MEC-00329,4,EA,2023-01-01
SUB-0003,FAS-00477,2,EA,2023-01-01
SUB-0003,FIT-00846-A,1,EA,2023-01-01
SUB-0004,MEC-00506,1,EA,2023-01-01
SUB-0004,RM-00257,7,EA,2023-01-01
SUB-0004,RM-00774,4,EA,2023-01-01
SUB-0004,RM-01115,2,EA,2023-01-01
SUB-0005,ELE-00958,5,EA,2023-01-01
SUB-0005,FAS-00157,6,EA,2023-01-01
SUB-0005,SVC-01270,7,EA,2023-01-01
SUB-0005,FAS-00048,5,EA,2023-01-01
SUB-0006,CON-00661,4,EA,2023-01-01
SUB-0006,CON-01048,7,EA,2023-01-01
SUB-0007,RM-00268,2,EA,2023-01-01
SUB-0007,HDW-00438-A,7,EA,2023-01-01
SUB-0007,ELE-00536,5,EA,2023-01-01
SUB-0008,MEC-01214,3,EA,2023-01-01
SUB-0008,RM-01157,6,EA,2023-01-01
SUB-0008,RM-00518,2,EA,2023-01-01
SUB-0008,FAS-00585,1,EA,2023-01-01
SUB-0009,SVC-01084,4,EA,2023-01-01
SUB-0009,ELE-00623,1,EA,2023-01-01
SUB-0009,ELE-00903,3,EA,2023-01-01
SUB-0010,FAS-01004,4,EA,2023-01-01
SUB-0010,FIT-00096,3,EA,2023-01-01
SUB-0010,ELE-00976,5,EA,2023-01-01
SUB-0011,FIT-01213,3,EA,2023-01-01
SUB-0011,CON-01249,3,EA,2023-01-01
SUB-0011,ELE-01282,5,EA,2023-01-01
SUB-0012,RM-00962,6,EA,2023-01-01
SUB-0012,ELE-00040,7,EA,2023-01-01
SUB-0012,FAS-01024-A,2,EA,2023-01-01
SUB-0012,ELE-00056,3,EA,2023-01-01
SUB-0013,MEC-00790,7,EA,2023-01-01
SUB-0013,ELE-01288,5,EA,2023-01-01
SUB-0013,FIT-01191,7,EA,2023-01-01
SUB-0014,RM-00036,5,EA,2023-01-01
