txn_id,item_number,txn_date,txn_time,type,qty,uom,job_id,reason_code,location,user_id
TX-0178252,MEC-01216,2023-01-01,12:53,ADJUST,1,EA,,CYCLE,CRIB,FAB1
TX-0179245,SVC-00719,2023-01-01,08:15,ADJUST,6,EA,,RETURN,CRIB,ASSY1
TX-0179449,RM-00731,2023-01-01,06:23,ADJUST,8,EA,,COUNT,CRIB,FAB1
TX-0179464,FAS-01043,2023-01-01,07:27,ADJUST,7,EA,,,FLOOR,FAB1
TX-0180096,HDW-00429-4,2023-01-01,11:34,ADJUST,-14,EA,,RECOUNT,CRIB,jbuyer
TX-0180672,FAS-00132-C,2023-01-01,11:39,ADJUST,-8,EA,,,FLOOR,pmgr
TX-0180937,CON-01070,2023-01-01,14:08,ADJUST,-16,EA,,VAR,CRIB,FAB1
TX-0184657,SVC-00936,2023-01-01,10:20,ADJUST,-2,EA,,,RECV,ASSY1
TX-0185380,FIT-00479-A,2023-01-01,11:47,ADJUST,31,EA,,,FLOOR,ASSY1
TX-0000001,CON-00100,2023-01-02,07:35,ISSUE,9,EA,WO-124151,MANUAL,RECV,jbuyer
TX-0000002,CON-00181,2023-01-02,09:02,ISSUE,14,EA,WO-425393,MANUAL,CRIB,FAB1
TX-0000003,CON-00381,2023-01-02,13:13,ISSUE,13,EA,WO-737568,MANUAL,FLOOR,RECV
TX-0000004,CON-00430,2023-01-02,08:17,ISSUE,2,EA,WO-922932,MANUAL,FLOOR,ASSY1
TX-0000005,CON-00502,2023-01-02,12:28,ISSUE,8,EA,WO-760259,MANUAL,FLOOR,scoord
TX-0000006,CON-00553,2023-01-02,16:25,ISSUE,11,EA,WO-444472,MANUAL,MAIN,FAB1
TX-0000007,CON-00691,2023-01-02,07:11,ISSUE,3,EA,WO-396519,MANUAL,MAIN,FAB1
TX-0000008,CON-00713,2023-01-02,08:38,ISSUE,4,OZ,WO-438519,MANUAL,MAIN,ASSY1
TX-0000009,CON-00802,2023-01-02,13:02,ISSUE,32,EA,WO-755978,MANUAL,FLOOR,ASSY1
TX-0000010,CON-00802,2023-01-02,16:30,ISSUE,36,EA,WO-939186,MANUAL,RECV,jbuyer
TX-0000011,CON-00853,2023-01-02,16:43,ISSUE,24,EA,WO-169410,MANUAL,MAIN,RECV
TX-0000012,CON-00857,2023-01-02,12:13,ISSUE,6,EA,WO-988017,MANUAL,FLOOR,FAB1
