item_number,description,uom,purchase_uom,uom_conversion,item_class,standard_cost,reorder_point,safety_stock,master_lead_time_days,primary_supplier_id,status,created_by,created_date,last_updated
HDW-00000,Nylock Nut 5/16,EA,EA,,Hardware,12.13,102.0,101.0,40,SUP-041,ACTIVE,pmgr,2019-02-08,2020-02-09
ELE-00001,Relay 14AWG,EA,EA,,Electrical,174.96,61.0,52.0,66,SUP-038,ACTIVE,jbuyer,2017-05-18,2021-08-21
HDW-00002,Set Screw 3/16,EA,EA,,Hardware,0.43,224.0,134.0,26,SUP-027,ACTIVE,jbuyer,2016-06-25,2019-12-10
FAS-00003,1/4-18 x 5/16 SHCS SS,EA,EA,,Fasteners,9.02,36.0,33.0,31,SUP-039,ACTIVE,recvclerk,2020-09-14,2020-11-07
RM-00004,"304 Tube Beam 1""",EA,EA,,Raw Material,5.89,412.0,196.0,30,SUP-036,ACTIVE,recvclerk,2020-01-14,2020-04-13
SVC-00005,Galvanize RoHS,EA,EA,,MISC,,5.0,5.0,32,SUP-005,ACTIVE,pmgr,2015-03-20,2017-01-04
HDW-00006,Cotter Pin 5/8,EA,EA,,Hardware,,39.0,44.0,37,SUP-003,ACTIVE,pmgr,2016-04-21,2017-02-19
HDW-00007,Set Screw 3/16 BLK,EA,BOX,,Hardware,0.0164,15.0,17.0,27,SUP-042,ACTIVE,pmgr,2021-02-21,2021-08-24
RM-00008,"304 Tube Channel 1/4""",EA,EA,,Raw Material,22.46,238.0,147.0,63,SUP-018,ACTIVE,scoord,2019-05-13,2020-08-18
ELE-00009,Relay 3PH,FT,SPOOL,,Electrical,0.0508,12.0,8.0,29,SUP-002,ACTIVE,pmgr,2020-01-15,2021-04-27
FIT-00010,Quick Coupler -8 JIC,EA,EA,,Fittings,9.52,594.0,226.0,37,SUP-028,ACTIVE,scoord,2020-07-28,2022-10-23
CON-00011,Enamel Blue 33LB,EA,EA,,Consumables,7.0,886.0,512.0,66,SUP-028,ACTIVE,recvclerk,2015-03-13,2019-06-06
FAS-00012,1/4-16 x 5/16 SHCS SS,EA,EA,,MISC,,87.0,77.0,37,SUP-003,ACTIVE,kbuyer,2015-03-26,2015-11-09
HDW-00013,Rivet 3/16,EA,EA,,Hardware,2.27,18.0,18.0,7,SUP-003,ACTIVE,jbuyer,2017-12-07,2018-03-26
ELE-00014,Photo Sensor 25A,EA,EA,,Electrical,23.97,28.0,18.0,7,SUP-026,ACTIVE,recvclerk,2017-11-17,2020-06-04
MEC-00015-A,Gearmotor 10HP,EA,EA,,Mechanical,119.46,234.0,217.0,37,SUP-001,ACTIVE,kbuyer,2015-05-03,2022-08-15
MEC-00015-B,10HP Gearmotor,EA,EA,,Mechanical,119.46,234.0,217.0,37,SUP-001,ACTIVE,kbuyer,2020-11-22,2021-07-09
MEC-00015-C,10HP Gearmotor,EA,EA,,Mechanical,119.46,234.0,217.0,37,SUP-001,ACTIVE,recvclerk,2022-12-11,2022-12-11
MEC-00015-4,Gearmotor 10HP,EA,EA,,Mechanical,119.46,234.0,217.0,37,SUP-001,ACTIVE,jbuyer,2022-08-27,2022-11-16
ELE-00016,VFD 16AWG,FT,SPOOL,,Electrical,0.0976,245.0,124.0,51,SUP-020,ACTIVE,pmgr,2015-10-26,2021-06-24
RM-00017,"5052 Sheet Plate 1""",EA,EA,,Raw Material,28.17,45.0,44.0,72,SUP-043,ACTIVE,scoord,2018-03-18,2022-11-07
HDW-00018,Clevis Pin 1/2,EA,EA,,Hardware,1.12,65.0,71.0,16,SUP-041,ACTIVE,recvclerk,2016-09-28,2021-05-17
FAS-00019,3/8-11 x 1/2 SHCS GR5,EA,EA,,Fasteners,0.31,55.0,50.0,44,SUP-033,ACTIVE,kbuyer,2017-04-13,2018-09-03
HDW-00020,Hex Nut 1/2,EA,EA,,Hardware,1.23,4.0,5.0,26,SUP-033,ACTIVE,jbuyer,2016-02-09,2019-02-22
FIT-00021,"Pneu Fitting 1/2"" NPT",EA,EA,,Fittings,3.12,360.0,269.0,38,SUP-034,ACTIVE,jbuyer,2016-06-05,2019-10-06
SVC-00022,Black Oxide Black,EA,EA,,Outside Service,23.73,123.0,64.0,37,SUP-035,ACTIVE,scoord,2015-09-11,2021-11-24
CON-00023,Anti-Spatter EA,EA,EA,,Consumables,14.21,63.0,38.0,28,SUP-028,ACTIVE,kbuyer,2017-07-10,2019-01-23
HDW-00024,Lock Washer 1/4,EA,EA,,Hardware,1.82,286.0,124.0,8,SUP-041,ACTIVE,scoord,2017-04-11,2019-03-26
MEC-00025,Gear Reducer 10HP,EA,EA,,Mechanical,164.21,48.0,34.0,12,SUP-013,ACTIVE,scoord,2021-02-09,2021-04-28
ELE-00026,Limit Switch 10A,EA,EA,,Electrical,103.17,216.0,86.0,43,SUP-020,ACTIVE,scoord,2020-10-14,2022-11-06
RM-00027,"A36 Angle Plate 2""",EA,EA,,Raw Material,17.71,21.0,25.0,22,SUP-043,ACTIVE,recvclerk,2018-08-15,2020-05-07
MEC-00028,Gear Reducer 184T,EA,EA,,Mechanical,19.32,39.0,21.0,29,SUP-037,ACTIVE,scoord,2016-05-23,2018-06-06
FAS-00029,3/8-16 x 5/8 HHCS GR8,EA,EA,,Fasteners,3.77,10.0,11.0,13,SUP-041,ACTIVE,scoord,2020-08-02,2021-08-31
HDW-00030-A,Hex Nut 3/4,EA,EA,,Hardware,1.99,,18.0,10,SUP-003,ACTIVE,jbuyer,2015-03-13,2015-04-17
HDW-00030-B,Hex Nut .75,EA,EA,,Hardware,,14.0,18.0,10,SUP-003,ACTIVE,pmgr,2016-06-28,2019-03-07
SVC-00031,Anodize Yellow,EA,EA,,Outside Service,12.68,12.0,12.0,15,SUP-011,ACTIVE,scoord,2020-08-12,2021-02-28
MEC-00032-A,Timing Belt 1HP,EA,EA,,MISC,30.54,271.0,162.0,33,SUP-037,ACTIVE,kbuyer,2020-03-02,2020-05-15
MEC-00032-B,1HP Timing Belt,EA,EA,,MISC,30.54,271.0,162.0,33,SUP-037,ACTIVE,recvclerk,2021-12-05,2022-02-24
FIT-00033,"Tee 1/4"" NPT",EA,EA,,Fittings,2.41,27.0,21.0,18,SUP-016,ACTIVE,jbuyer,2016-01-12,2022-12-17
ELE-00034,Relay 10A,EA,EA,,Electrical,6.97,3.0,2.0,22,SUP-014,ACTIVE,pmgr,2018-07-02,2022-07-13
MEC-00035,Roller 56C,EA,EA,,Mechanical,76.94,13.0,6.0,27,SUP-037,ACTIVE,jbuyer,2017-02-11,2020-08-21
RM-00036,"304 Tube Tube 1/4""",FT,LENGTH,,Raw Material,0.2783,76.0,62.0,27,SUP-018,ACTIVE,scoord,2019-05-14,2022-05-06
ELE-00037,Power Supply 10A,FT,SPOOL,,Electrical,0.5143,16.0,10.0,7,SUP-014,ACTIVE,scoord,2019-03-10,2021-07-11
MEC-00038,Timing Belt 184T,EA,EA,,Mechanical,,14.0,12.0,15,SUP-001,ACTIVE,pmgr,2019-08-10,2022-10-05
FAS-00039,5/8-20 x 5/8 FHCS ZP,EA,EA,,Fasteners,0.26,100.0,117.0,72,SUP-033,ACTIVE,recvclerk,2019-01-13,2019-06-14
ELE-00040,Terminal Block 10A,EA,EA,,Electrical,45.65,73.0,29.0,53,SUP-014,ACTIVE,scoord,2017-06-03,2018-05-18
HDW-00041,Clevis Pin 1/4,EA,EA,,Hardware,9.01,34.0,28.0,15,SUP-009,ACTIVE,kbuyer,2017-08-22,2020-09-24
FAS-00042,3/16-20 x 1/4 HHCS GR8,EA,EA,,Fasteners,0.9,53.0,37.0,26,SUP-003,ACTIVE,scoord,2016-02-29,2018-03-18
MEC-00043,Pillow Block 2HP,EA,EA,,Mechanical,72.63,,32.0,33,SUP-013,ACTIVE,scoord,2019-03-15,2020-06-28
HDW-00044,Flat Washer 3/8,EA,BOX,,Hardware,0.0074,127.0,107.0,69,SUP-003,ACTIVE,recvclerk,2017-07-31,2021-01-24
HDW-00045,Cotter Pin 5/8 ZP,EA,EA,,Hardware,1.11,61.0,65.0,67,SUP-042,ACTIVE,scoord,2017-09-19,2020-10-16
FIT-00046,"Quick Coupler 3/8"" NPT",EA,EA,,Fittings,2.03,79.0,73.0,60,SUP-004,ACTIVE,recvclerk,2020-05-09,2020-11-26
MEC-00047,Coupling 145T,EA,EA,,Mechanical,6.97,26.0,16.0,14,SUP-025,ACTIVE,recvclerk,2015-10-05,2020-03-10
FAS-00048,3/8-13 x 1/2 SHCS SS,EA,EA,,Fasteners,0.94,8.0,10.0,40,SUP-042,ACTIVE,jbuyer,2015-04-20,2020-06-28
RM-00049,"304 Sheet Beam 3""",EA,EA,,MISC,1.67,30.0,25.0,40,SUP-030,ACTIVE,scoord,2019-06-25,2020-07-21
MEC-00050,Sprocket 56C,EA,EA,,MISC,12.01,21.0,16.0,50,SUP-001,ACTIVE,pmgr,2018-06-21,2022-10-30
RM-00051,"A500 Tube Angle 6""",EA,EA,,Raw Material,8.44,78.0,79.0,65,SUP-036,ACTIVE,kbuyer,2019-09-05,2020-10-10
HDW-00052,Lock Washer 5/16,EA,EA,,Hardware,0.96,53.0,39.0,29,SUP-041,ACTIVE,scoord,2016-09-03,2019-01-13
FAS-00053,3/4-20 x 5/8 BHCS GR5,EA,EA,,Fasteners,1.23,150.0,104.0,45,SUP-015,ACTIVE,kbuyer,2020-01-04,2020-03-20
FAS-00054-A,1/8-20 x 1 HHCS GR8,EA,EA,,Fasteners,1.13,7757.0,1998.0,25,SUP-042,ACTIVE,scoord,2016-07-16,2017-03-14
FAS-00054-B,GR8 .125-20x1 HHCS,EA,EA,,Fasteners,1.13,7757.0,1998.0,25,SUP-042,ACTIVE,jbuyer,2021-02-10,2021-07-25
HDW-00055,Cotter Pin 5/8 SS,EA,EA,,Hardware,4.93,57.0,42.0,21,SUP-021,ACTIVE,jbuyer,2017-08-17,2021-09-14
ELE-00056,Prox Sensor 12AWG,EA,EA,,MISC,57.46,22.0,17.0,28,SUP-020,ACTIVE,kbuyer,2017-07-09,2018-01-02
ELE-00057-A,Cable 480V,EA,EA,,Electrical,83.1,1342.0,667.0,57,SUP-026,ACTIVE,kbuyer,2017-10-09,2018-05-28
ELE-00057-B,480V Cable,EA,EA,,Electrical,83.1,1342.0,667.0,57,SUP-026,ACTIVE,pmgr,2020-02-02,2022-10-28
ELE-00057-C,Cable 480V,EA,EA,,Electrical,83.1,1342.0,667.0,57,SUP-026,ACTIVE,scoord,2019-04-07,2022-06-07
ELE-00057-4,480V Cable,EA,EA,,Electrical,83.1,1342.0,667.0,57,SUP-026,ACTIVE,kbuyer,2018-12-02,2022-07-21
RM-00058,"6063 Tube Angle 2""",EA,EA,,Raw Material,14.03,305.0,167.0,37,SUP-036,ACTIVE,pmgr,2017-12-21,2019-05-05
RM-00059,"304 Sheet Flat Bar 1/4""",FT,LENGTH,,Raw Material,0.9375,839.0,444.0,54,SUP-006,ACTIVE,kbuyer,2020-01-10,2022-09-20
FAS-00060,1/8-18 x 1 HHCS GR8,EA,EA,,Fasteners,1.37,523.0,419.0,54,SUP-027,ACTIVE,pmgr,2020-02-01,2020-06-29
ELE-00061,Relay 3PH CE,FT,SPOOL,,Electrical,0.0322,27.0,15.0,31,SUP-020,ACTIVE,scoord,2018-04-03,2021-04-08
ELE-00062,Enclosure 480V,EA,EA,,Electrical,19.28,71.0,57.0,72,SUP-008,ACTIVE,recvclerk,2016-10-19,2021-01-21
HDW-00063,Clevis Pin 3/4,EA,EA,,Hardware,1.54,93.0,89.0,10,SUP-033,ACTIVE,recvclerk,2016-03-30,2016-04-07
FAS-00064,1/4-28 x 5/16 FHCS SS,EA,EA,,Fasteners,0.39,128.0,125.0,68,SUP-027,ACTIVE,kbuyer,2017-11-14,2020-08-04
ELE-00065,Wire 12AWG,EA,EA,,Electrical,41.96,20.0,17.0,7,SUP-020,ACTIVE,kbuyer,2017-11-17,2021-12-13
ELE-00066,Relay 24VDC,EA,EA,,Electrical,25.71,,57.0,33,SUP-026,ACTIVE,jbuyer,2018-01-19,2021-07-11
MEC-00067,Servo Motor 7.5HP,EA,EA,,Mechanical,22.46,74.0,35.0,63,SUP-031,ACTIVE,kbuyer,2015-01-01,2021-07-01
RM-00068,"A36 Channel Flat Bar 3/8""",EA,EA,,Raw Material,7.49,130.0,159.0,54,SUP-012,ACTIVE,kbuyer,2016-08-24,2020-03-11
ELE-00069,Photo Sensor 480V,EA,EA,,MISC,8.9,16.0,13.0,29,SUP-002,ACTIVE,pmgr,2020-08-11,2022-07-27
MEC-00070,Gear Reducer 10HP REV-A,EA,EA,,Mechanical,106.87,36.0,33.0,68,SUP-001,ACTIVE,recvclerk,2020-12-27,2022-07-23
FIT-00071,"Flow Control 3/8"" NPT",EA,EA,,MISC,6.06,18.0,9.0,16,SUP-004,ACTIVE,kbuyer,2018-08-15,2022-03-16
HDW-00072,Cable Tie 3/16,EA,EA,,Hardware,0.93,87.0,103.0,53,SUP-041,ACTIVE,scoord,2017-11-22,2019-01-10
MEC-00073,Coupling 1HP,EA,EA,,MISC,90.91,2.0,3.0,42,SUP-037,ACTIVE,jbuyer,2020-09-24,2021-11-06
RM-00074,"304 Sheet Plate 1/2""",EA,EA,,Raw Material,8.25,33.0,13.0,21,SUP-012,ACTIVE,pmgr,2019-08-14,2019-12-12
