order_id,product_number,configuration_code,qty_ordered,qty_completed,customer_id,release_date,due_date,completed_date,status,hold_reason,delay_days
JOB-000001,PRD-CO-000,CFG-A,1,1,CUST-052,2023-01-05,2023-02-10,2023-02-10,COMPLETED,,0
JOB-000002,PRD-CO-000,STD,2,2,CUST-016,2023-01-18,2023-02-10,2023-02-10,COMPLETED,,0
JOB-000003,PRD-CO-000,CFG-B,3,3,CUST-095,2023-01-15,2023-02-17,2023-02-17,COMPLETED,,0
JOB-000004,PRD-CO-000,STD,3,3,CUST-012,2023-01-06,2023-01-27,2023-01-27,COMPLETED,,0
JOB-000005,PRD-CO-000,CFG-A,2,2,CUST-004,2023-01-06,2023-02-03,2023-02-03,COMPLETED,,0
JOB-000006,PRD-CO-000,CFG-A,1,1,CUST-095,2023-01-06,2023-02-03,2023-02-10,COMPLETED,,0
JOB-000007,PRD-CO-000,STD,1,1,CUST-012,2023-04-20,2023-06-02,2023-06-02,COMPLETED,,0
JOB-000008,PRD-CO-000,STD,2,2,CUST-136,2023-04-02,2023-05-19,2023-05-19,COMPLETED,,0
JOB-000009,PRD-CO-000,CFG-B,1,1,CUST-022,2023-04-19,2023-05-19,2023-05-19,COMPLETED,,0
JOB-000010,PRD-CO-000,STD,3,3,CUST-012,2023-04-20,2023-05-12,2023-05-12,COMPLETED,,0
JOB-000011,PRD-CO-000,STD,1,1,CUST-053,2023-04-17,2023-05-19,2023-05-26,COMPLETED,,0
JOB-000012,PRD-CO-000,CFG-A,3,3,CUST-048,2023-04-16,2023-05-05,2023-05-05,COMPLETED,,0
JOB-000013,PRD-CO-000,STD,2,2,CUST-063,2023-04-13,2023-05-12,2023-05-12,COMPLETED,,0
JOB-000014,PRD-CO-000,CFG-C,3,3,CUST-118,2023-04-15,2023-05-12,2023-05-12,COMPLETED,,0
JOB-000015,PRD-CO-000,STD,1,1,CUST-100,2023-07-01,2023-07-28,2023-07-28,COMPLETED,,0
JOB-000016,PRD-CO-000,ETO,3,3,CUST-009,2023-07-08,2023-08-04,2023-08-04,OPEN,,0
JOB-000017,PRD-CO-000,CFG-C,1,1,CUST-126,2023-07-08,2023-08-11,2023-08-11,COMPLETED,,0
JOB-000018,PRD-CO-000,ETO,3,3,CUST-104,2023-07-15,2023-08-04,2023-08-04,COMPLETED,,0
JOB-000019,PRD-CO-000,STD,3,3,CUST-131,2023-07-13,2023-07-28,2023-08-04,COMPLETED,,0
JOB-000020,PRD-CO-000,CFG-C,2,2,CUST-044,2023-07-17,2023-08-18,2023-08-19,COMPLETED,MATERIAL SHORTAGE,1
JOB-000021,PRD-CO-000,STD,1,1,CUST-040,2023-07-09,2023-07-28,2023-08-04,COMPLETED,,0
JOB-000022,PRD-CO-000,STD,3,3,CUST-105,2023-07-18,2023-08-11,2023-08-19,COMPLETED,MATERIAL SHORTAGE,1
JOB-000023,PRD-CO-000,STD,3,3,CUST-022,2023-07-15,2023-08-25,2023-08-25,COMPLETED,,0
JOB-000024,PRD-CO-000,STD,3,3,CUST-087,2023-07-10,2023-07-28,2023-07-28,COMPLETED,,0
JOB-000025,PRD-CO-000,CFG-C,3,3,CUST-006,2023-10-07,2023-10-27,2023-10-27,COMPLETED,,0
JOB-000026,PRD-CO-000,STD,1,1,CUST-053,2023-10-02,2023-11-03,2023-11-10,COMPLETED,,0
JOB-000027,PRD-CO-000,STD,1,1,CUST-078,2023-10-16,2023-11-24,2023-11-24,COMPLETED,,0
JOB-000028,PRD-CO-000,ETO,2,2,CUST-005,2023-10-03,2023-11-10,2023-11-10,OPEN,,0
JOB-000029,PRD-CO-000,STD,1,1,CUST-088,2023-10-11,2023-11-17,2023-11-24,COMPLETED,,0
JOB-000030,PRD-CO-000,STD,2,2,CUST-130,2023-10-20,2023-11-17,2023-11-17,COMPLETED,,0
JOB-000031,PRD-CO-000,STD,1,1,CUST-006,2023-10-15,2023-11-17,2023-11-17,COMPLETED,,0
JOB-000032,PRD-CO-000,STD,3,3,CUST-059,2023-10-19,2023-12-01,2023-12-08,COMPLETED,,0
JOB-000033,PRD-CO-000,STD,1,1,CUST-027,2023-10-07,2023-10-27,2023-10-27,COMPLETED,,0
JOB-000034,PRD-CO-000,STD,1,1,CUST-020,2024-01-08,2024-02-09,2024-02-09,COMPLETED,,0
JOB-000035,PRD-CO-000,STD,1,1,CUST-111,2024-01-05,2024-02-02,2024-02-02,COMPLETED,,0
JOB-000036,PRD-CO-000,CFG-C,1,1,CUST-131,2024-01-10,2024-02-02,2024-02-02,COMPLETED,,0
JOB-000037,PRD-CO-000,ETO,2,2,CUST-010,2024-01-04,2024-01-26,2024-01-26,OPEN,,0
JOB-000038,PRD-CO-000,STD,2,2,CUST-031,2024-01-16,2024-03-01,2024-03-01,COMPLETED,,0
