po_id,line,item_number,description_text,supplier_id,order_date,promised_date,received_date,qty_ordered,qty_received,unit_price,status,rush,freight
PO-000001,1,MEC-00015,,SUP-001,2023-01-01,2023-02-07,2023-01-16,724,724,75.06,CLOSED,False,0.0
PO-000001,2,MEC-00050,,SUP-001,2023-01-01,2023-02-20,2023-02-24,95,95,11.49,CLOSED,False,0.0
PO-000001,3,MEC-00067,,SUP-001,2023-01-01,2023-03-05,2023-01-16,15,15,22.71,CLOSED,False,0.0
PO-000002,1,MEC-00102,,SUP-001,2023-01-01,2023-03-11,2023-03-13,9,9,13.3,CLOSED,False,0.0
PO-000002,2,MEC-00271,,SUP-001,2023-01-01,2023-01-31,2023-02-06,25,25,20.6,CLOSED,False,0.0
PO-000003,1,MEC-00750,,SUP-001,2023-01-01,2023-03-07,2023-03-07,62,62,44.86,CLOSED,False,0.0
PO-000003,2,MEC-00951,,SUP-001,2023-01-01,2023-02-09,2023-02-13,62,62,55.63,CLOSED,False,0.0
PO-000003,3,MEC-00969,,SUP-001,2023-01-01,2023-02-19,2023-01-15,34,34,26.61,CLOSED,False,0.0
PO-000004,1,MEC-01015-A,,SUP-001,2023-01-01,2023-02-03,2023-02-06,137,137,31.54,CLOSED,False,0.0
PO-000004,2,MEC-01015-B,,SUP-001,2023-01-01,2023-02-03,2023-02-03,137,137,32.63,CLOSED,False,0.0
PO-000005,1,MEC-01015-C,,SUP-001,2023-01-01,2023-02-03,2023-02-06,137,137,31.12,CLOSED,False,0.0
PO-000006,1,MEC-01064,,SUP-001,2023-01-01,2023-02-26,2023-02-25,66,66,13.6,CLOSED,False,0.0
PO-000007,1,MEC-01293,,SUP-001,2023-01-01,2023-02-21,2023-02-23,15,15,22.02,CLOSED,False,0.0
PO-000007,2,MEC-00924,,SUP-001,2023-01-03,2023-02-10,2023-02-13,26,26,30.36,CLOSED,False,0.0
PO-000008,1,MEC-01110,,SUP-001,2023-01-09,2023-01-30,2023-01-24,39,39,86.56,CLOSED,False,0.0
PO-000008,2,MEC-01195,,SUP-001,2023-01-09,2023-02-23,2023-02-27,44,44,43.65,CLOSED,False,0.0
PO-000008,3,ELE-00140,,SUP-001,2023-01-13,2023-02-21,2023-01-25,17,17,57.99,CLOSED,False,0.0
PO-000009,1,MEC-00750,,SUP-001,2023-01-13,2023-03-19,2023-03-19,31,31,49.66,CLOSED,False,0.0
PO-000010,1,MEC-00015,,SUP-001,2023-01-15,2023-02-21,2023-01-30,724,724,82.85,CLOSED,False,0.0
PO-000011,1,MEC-00073,,SUP-001,2023-01-16,2023-02-27,2023-01-30,74,74,66.02,CLOSED,False,0.0
PO-000011,2,MEC-00896,,SUP-001,2023-01-16,2023-02-06,2023-02-05,27,27,71.25,CLOSED,False,0.0
PO-000012,1,MEC-00537,,SUP-001,2023-01-17,2023-03-04,2023-01-31,19,19,16.49,CLOSED,False,0.0
PO-000012,2,MEC-01092,,SUP-001,2023-01-17,2023-03-07,2023-02-04,60,60,36.14,CLOSED,False,0.0
PO-000013,1,MEC-00266,,SUP-001,2023-01-19,2023-02-19,2023-02-20,14,14,67.55,CLOSED,False,0.0
PO-000014,1,MEC-00945,,SUP-001,2023-01-22,2023-03-23,2023-02-06,79,79,11.69,CLOSED,False,0.0
PO-000014,2,MEC-01153,,SUP-001,2023-01-22,2023-03-18,2023-02-10,252,252,55.15,CLOSED,False,0.0
PO-000014,3,MEC-00102,,SUP-001,2023-01-24,2023-04-03,2023-04-04,9,9,13.18,CLOSED,False,0.0
PO-000015,1,ELE-00580,,SUP-001,2023-01-25,2023-03-14,2023-02-08,52,52,41.31,CLOSED,False,0.0
PO-000016,1,ELE-00906,,SUP-001,2023-02-06,2023-04-19,2023-02-19,167,167,185.69,CLOSED,False,0.0
PO-000016,2,ELE-00569-A,,SUP-001,2023-02-08,2023-03-26,2023-02-27,92,92,36.25,CLOSED,False,0.0
PO-000017,1,MEC-00869,,SUP-001,2023-02-10,2023-02-28,2023-03-01,629,629,21.14,CLOSED,False,0.0
PO-000017,2,MEC-01293,,SUP-001,2023-02-10,2023-04-02,2023-04-02,15,11,21.09,OPEN,False,0.0
PO-000018,1,ELE-00140,,SUP-001,2023-02-13,2023-03-24,2023-02-27,17,17,65.84,CLOSED,False,0.0
PO-000019,1,MEC-00050,,SUP-001,2023-02-27,2023-04-18,2023-04-17,95,95,11.92,CLOSED,False,0.0
PO-000019,2,MEC-00271,,SUP-001,2023-02-27,2023-03-29,2023-04-03,25,25,19.53,CLOSED,False,0.0
PO-000020,1,MEC-01153,,SUP-001,2023-03-01,2023-04-25,2023-03-13,252,252,66.63,CLOSED,False,0.0
PO-000020,2,MEC-00506,,SUP-001,2023-03-03,2023-04-15,2023-04-15,193,156,8.24,OPEN,False,0.0
PO-000020,3,MEC-00263,,SUP-001,2023-03-06,2023-04-09,2023-03-22,57,37,68.21,OPEN,False,0.0
PO-000021,1,MEC-00750,,SUP-001,2023-03-06,2023-05-10,2023-05-07,31,31,43.07,CLOSED,False,0.0
PO-000022,1,MEC-01064,,SUP-001,2023-03-07,2023-05-02,2023-05-01,66,66,14.24,CLOSED,False,0.0
PO-000022,2,MEC-00951,,SUP-001,2023-03-10,2023-04-18,2023-04-21,62,62,50.26,CLOSED,False,0.0
PO-000023,1,MEC-00067,,SUP-001,2023-03-13,2023-05-15,2023-03-29,15,15,21.11,CLOSED,False,0.0
PO-000023,2,MEC-00266,,SUP-001,2023-03-13,2023-04-13,2023-04-17,14,14,67.93,CLOSED,False,0.0
PO-000024,1,MEC-00146,,SUP-001,2023-03-15,2023-04-12,2023-03-31,28,28,34.89,CLOSED,False,0.0
PO-000024,2,MEC-00951,,SUP-001,2023-03-15,2023-04-23,2023-04-25,62,62,52.08,CLOSED,False,0.0
PO-000025,1,MEC-00945,,SUP-001,2023-03-20,2023-05-19,2023-04-06,158,158,11.68,CLOSED,False,0.0
PO-000026,1,MEC-01110,,SUP-001,2023-03-28,2023-04-18,2023-04-10,39,39,76.71,CLOSED,False,0.0
PO-000026,2,MEC-01178,,SUP-001,2023-03-29,2023-04-05,2023-04-17,104,70,89.27,OPEN,False,0.0
PO-000027,1,MEC-01195,,SUP-001,2023-03-31,2023-05-15,2023-05-17,44,44,45.93,CLOSED,False,0.0
PO-000028,1,MEC-01092,,SUP-001,2023-04-04,2023-05-23,2023-04-23,60,60,40.58,CLOSED,False,0.0
PO-000028,2,MEC-00073,,SUP-001,2023-04-06,2023-05-18,2023-04-24,74,74,60.22,CLOSED,False,0.0
PO-000028,3,MEC-01172,,SUP-001,2023-04-06,2023-04-18,2023-04-22,109,109,20.45,CLOSED,False,0.0
PO-000029,1,MEC-00189,,SUP-001,2023-04-13,2023-05-19,2023-05-21,60,60,23.82,CLOSED,False,0.0
PO-000030,1,MEC-00951,,SUP-001,2023-04-17,2023-05-26,2023-05-26,62,62,53.39,CLOSED,False,0.0
PO-000031,1,MEC-00130,,SUP-001,2023-04-18,2023-06-30,2023-07-03,18,18,58.08,CLOSED,False,0.0
PO-000031,2,MEC-00015,,SUP-001,2023-04-19,2023-05-26,2023-05-08,724,724,73.9,CLOSED,False,0.0
PO-000032,1,MEC-00073,,SUP-001,2023-04-24,2023-06-05,2023-05-08,74,74,64.47,CLOSED,False,0.0
PO-000032,2,ELE-00106,,SUP-001,2023-04-27,2023-05-04,2023-05-14,8,8,53.25,CLOSED,False,0.0
PO-000033,1,MEC-00869,,SUP-001,2023-04-28,2023-05-16,2023-05-22,629,629,20.3,CLOSED,False,0.0
PO-000033,2,MEC-01064,,SUP-001,2023-05-01,2023-06-26,2023-06-28,66,66,13.45,CLOSED,False,0.0
PO-000034,1,ELE-00140,,SUP-001,2023-05-06,2023-06-14,2023-05-22,17,17,67.95,CLOSED,False,0.0
PO-000034,2,MEC-00770,,SUP-001,2023-05-06,2023-06-27,2023-07-03,92,92,27.59,CLOSED,False,0.0
PO-000035,1,ELE-00106,,SUP-001,2023-05-08,2023-05-15,2023-05-24,8,8,63.1,CLOSED,False,0.0
PO-000036,1,MEC-00308,,SUP-001,2023-05-08,2023-05-22,2023-05-26,142,142,23.55,CLOSED,False,0.0
PO-000037,1,MEC-00283,,SUP-001,2023-05-15,2023-07-25,2023-06-01,19,19,17.54,CLOSED,False,0.0
