order_id,line,item_number,customer_id,order_date,ship_date,qty,unit_price
SO-000001,1,MEC-00967,CUST-096,2026-02-10,2026-02-12,1,109.83
SO-000001,2,MEC-00114,CUST-096,2024-11-11,2024-11-12,5,146.94
SO-000002,1,MEC-00191,CUST-049,2024-01-17,2024-01-22,9,122.12
SO-000002,2,FIT-00081,CUST-049,2023-01-04,2023-01-09,3,11.2
SO-000003,1,FIT-00123,CUST-046,2025-12-07,2025-12-08,2,20.59
SO-000003,2,MEC-00199,CUST-046,2023-02-24,2023-02-27,10,39.13
SO-000004,1,FAS-00878,CUST-171,2025-08-13,2025-08-18,4,3.24
SO-000005,1,ELE-00572,CUST-004,2025-05-05,2025-05-08,7,10.23
SO-000005,2,HDW-00255,CUST-004,2025-12-19,2025-12-23,9,1.6
SO-000006,1,HDW-00167,CUST-131,2024-09-29,2024-10-02,1,27.58
SO-000006,2,HDW-00947,CUST-131,2024-06-03,2024-06-05,3,6.37
SO-000006,3,MEC-00032,CUST-131,2025-05-14,2025-05-19,3,37.17
SO-000007,1,ELE-00395,CUST-105,2023-07-03,2023-07-04,1,34.55
SO-000007,2,RM-00670,CUST-105,2025-02-21,2025-02-26,4,27.82
SO-000008,1,FAS-00091,CUST-070,2023-09-30,2023-10-04,7,6.81
SO-000009,1,RM-00768,CUST-138,2023-07-20,2023-07-24,4,12.18
SO-000010,1,SVC-00022,CUST-020,2023-01-15,2023-01-16,2,28.73
SO-000010,2,FAS-00599,CUST-020,2023-10-12,2023-10-16,5,2.37
SO-000010,3,FIT-01294,CUST-020,2023-12-20,2023-12-21,4,5.35
SO-000011,1,RM-00635,CUST-104,2025-09-16,2025-09-19,4,7.31
SO-000011,2,RM-00270,CUST-104,2025-02-14,2025-02-17,7,57.59
SO-000011,3,MEC-00220,CUST-104,2025-12-07,2025-12-08,2,80.4
SO-000012,1,MEC-00475,CUST-044,2023-06-03,2023-06-06,2,281.57
SO-000012,2,RM-01152,CUST-044,2024-11-22,2024-11-25,10,23.48
SO-000013,1,FAS-00826,CUST-121,2026-01-01,2026-01-05,4,4.87
SO-000014,1,RM-00472,CUST-126,2023-12-03,2023-12-04,14,13.3
SO-000014,2,MEC-00819,CUST-126,2025-01-18,2025-01-20,4,14.5
SO-000014,3,HDW-01162,CUST-126,2025-01-22,2025-01-27,6,10.21
SO-000015,1,FIT-00081,CUST-125,2026-01-04,2026-01-05,6,11.68
SO-000015,2,MEC-01049,CUST-125,2026-03-01,2026-03-02,2,83.12
SO-000015,3,HDW-00852-A,CUST-125,2023-05-16,2023-05-18,10,3.12
SO-000016,1,FAS-00878,CUST-041,2023-12-15,2023-12-18,3,2.5
SO-000016,2,RM-00512,CUST-041,2025-12-01,2025-12-02,9,9.1
SO-000016,3,RM-00646,CUST-041,2024-07-04,2024-07-08,2,46.75
SO-000017,1,RM-01169,CUST-167,2023-07-01,2023-07-05,5,8.46
SO-000018,1,FIT-01294,CUST-154,2023-11-08,2023-11-09,5,6.57
SO-000018,2,ELE-00065,CUST-154,2023-12-17,2023-12-21,8,58.19
SO-000018,3,CON-00865,CUST-154,2024-07-11,2024-07-15,2,6.87
SO-000019,1,HDW-00255,CUST-011,2025-06-17,2025-06-19,5,1.86
SO-000019,2,RM-00512,CUST-011,2024-06-17,2024-06-18,5,8.41
SO-000019,3,CON-00630,CUST-011,2025-01-05,2025-01-09,1,8.33
SO-000020,1,CON-00181,CUST-104,2023-05-26,2023-05-29,7,14.4
SO-000020,2,RM-00512,CUST-104,2025-03-08,2025-03-11,3,7.5
SO-000020,3,FIT-01191,CUST-104,2023-10-13,2023-10-16,8,21.94
SO-000021,1,FAS-00233,CUST-122,2023-07-06,2023-07-10,45,1.92
SO-000021,2,MEC-01183,CUST-122,2023-04-10,2023-04-13,2,104.21
