count_id,item_number,count_date,system_qty,counted_qty,counter_id,program
CC-000001,CON-00011,2023-01-17,0,54,scoord,ANNUAL
CC-000002,CON-00023,2023-01-17,-30,0,jbuyer,ANNUAL
CC-000003,CON-00100,2023-01-17,0,202,pmgr,ANNUAL
CC-000004,CON-00109,2023-01-17,-56,96,jbuyer,ANNUAL
CC-000005,CON-00131,2023-01-17,0,209,kbuyer,ANNUAL
CC-000006,CON-00142,2023-01-17,-11,205,jbuyer,ANNUAL
CC-000007,CON-00151,2023-01-17,0,79,pmgr,ANNUAL
CC-000008,CON-00161,2023-01-17,-5,58,pmgr,ANNUAL
CC-000009,CON-00173,2023-01-17,0,56,kbuyer,ANNUAL
CC-000010,CON-00178,2023-01-17,-3,131,recvclerk,ANNUAL
CC-000011,CON-00180,2023-01-17,-5,107,jbuyer,ANNUAL
CC-000012,CON-00181,2023-01-17,-18,192,recvclerk,ANNUAL
CC-000013,CON-00190,2023-01-17,-16,55,recvclerk,ANNUAL
CC-000014,CON-00197,2023-01-17,0,119,kbuyer,ANNUAL
CC-000015,CON-00218,2023-01-17,-9,716,recvclerk,ANNUAL
CC-000016,CON-00225,2023-01-17,0,32,recvclerk,ANNUAL
CC-000017,CON-00234,2023-01-17,-20,76,scoord,ANNUAL
CC-000018,CON-00245,2023-01-17,0,47,kbuyer,ANNUAL
CC-000019,CON-00251,2023-01-17,-29,72,recvclerk,ANNUAL
CC-000020,CON-00264,2023-01-17,1,100,recvclerk,ANNUAL
CC-000021,CON-00278,2023-01-17,0,24,jbuyer,ANNUAL
CC-000022,CON-00292,2023-01-17,0,36,recvclerk,ANNUAL
CC-000023,CON-00295,2023-01-17,-2,198,recvclerk,ANNUAL
CC-000024,CON-00320,2023-01-17,-4,34,jbuyer,ANNUAL
CC-000025,CON-00333,2023-01-17,0,108,jbuyer,ANNUAL
CC-000026,CON-00339,2023-01-17,0,185,jbuyer,ANNUAL
CC-000027,CON-00360,2023-01-17,-25,172,recvclerk,ANNUAL
CC-000028,CON-00369,2023-01-17,-5,4,recvclerk,ANNUAL
CC-000029,CON-00376,2023-01-17,-1,57,pmgr,ANNUAL
CC-000030,CON-00381,2023-01-17,-32,15,jbuyer,ANNUAL
CC-000031,CON-00401,2023-01-17,-10,19,kbuyer,ANNUAL
CC-000032,CON-00405,2023-01-17,-17,14,recvclerk,ANNUAL
CC-000033,CON-00413,2023-01-17,0,109,pmgr,ANNUAL
CC-000034,CON-00419,2023-01-17,-4,98,pmgr,ANNUAL
CC-000035,CON-00430,2023-01-17,0,46,pmgr,ANNUAL
CC-000036,CON-00451,2023-01-17,-1,40,kbuyer,ANNUAL
CC-000037,CON-00501,2023-01-17,0,213,kbuyer,ANNUAL
CC-000038,CON-00502,2023-01-17,-8,28,jbuyer,ANNUAL
CC-000039,CON-00553,2023-01-17,-16,24,recvclerk,ANNUAL
CC-000040,CON-00576,2023-01-17,-32,14,scoord,ANNUAL
CC-000041,CON-00584,2023-01-17,-7,371,scoord,ANNUAL
CC-000042,CON-00590,2023-01-17,-25,183,kbuyer,ANNUAL
CC-000043,CON-00602,2023-01-17,0,119,scoord,ANNUAL
CC-000044,CON-00606,2023-01-17,-69,301,pmgr,ANNUAL
CC-000045,CON-00630,2023-01-17,-23,127,kbuyer,ANNUAL
CC-000046,CON-00639,2023-01-17,-13,155,kbuyer,ANNUAL
CC-000047,CON-00651,2023-01-17,-5,17,scoord,ANNUAL
CC-000048,CON-00661,2023-01-17,-11,123,scoord,ANNUAL
CC-000049,CON-00676,2023-01-17,-58,50,jbuyer,ANNUAL
CC-000050,CON-00691,2023-01-17,0,90,kbuyer,ANNUAL
CC-000051,CON-00694,2023-01-17,-16,41,pmgr,ANNUAL
